objectid,filename,format,parentid,registration_number,title,subject,mudra,material,measurement,colour,culture,manufactured,location,price,placement,usage,position,emotion,attribute,description
dmc80,dmc80.jpeg,image/jpeg,,Image_59,Postbox Keeper Buddha,Postbox Keeper; Letters; Frog,jnana mudra,Stone,Height: Approximately 20 cm,Black,Indian,Thailand,"Hungary, Kashely",Not for Sale,On the display by the entrance of home,"decoration, religious support",Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture",An Indian style Buddha sitting in meditation posture on a Tibetan style table cover with precious stones placed inside his palms.
dmc81,dmc81.jpeg,image/jpeg,,Image_60,Korean Style Buddha,Corner; Display; Alone,jnana mudra,Wood,Height: Approximately 25 cm,Wooden,Korean,Thailand,"Hungary, Zalascanto","30,00€",On the display in the shelf of the store,"decoration, religious support, relaxation",Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture","A Korean style wooden Buddha sitting in meditation posture where his fists touch each other and the big fingers, too. "
dmc82,dmc82.jpeg,image/jpeg,,Image_61,Korean Style Buddha,Korean; Engraving,jnana mudra,Wood,Height: Approximately 25 cm,Wooden,Korean,Thailand,"Hungary, Zalascanto","30,00€",On the display in the shelf of the store,"decoration, religious support, relaxation",Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture","A Korean style wooden Buddha sitting in meditation posture where his fists touch each other and the big fingers, too. "
dmc83,dmc83.jpeg,image/jpeg,,Image_62,Brass Mask,Mask; Wall,without mudra,Brass,Height: Approximately 15 cm,Golden,Indian,Thailand,"Hungary, Zalascanto","20,00 ",On the display hanging on the wall of the store,"decoration, religious support, relaxation",Head,Serene,Peaceful Head,An Indian style Buddha mask with not many details and long ears.
dmc84,dmc84.jpeg,image/jpeg,,Image_63,Fat Buddha,Fat; Laughing; Big Belly,right hand resting on right knee,Wood,Height: Approximately 20 cm,"Red, Brown",Chinese,Thailand,"Hungary, Zalascanto","30,00€",On the display in the shelf of the store,"decoration, relaxation ",Seated,Serene,seated with one hand resing on the knee,Chinese style fat Buddha which is Maitreya Buddha sitting with left leg cross legged and right leg knee up. His right hand is placed on the right knee palms up. 
dmc85,dmc85.jpeg,image/jpeg,,Image_64,Plastic Buddha,Korean; Gold and Black; Rabbit,earth touching mudra,Plastic,Height: Approximately 25 cm,"Golden, Black",Korean,Thailand,"Hungary, Zalascanto","30,00€",On the display in the shelf of the store,"decoration, religious support, relaxation",Seated,Serene,"Seated with legs crossed, and hands folded in earth touching mudra","Korean style Buddha, gold in colour with black robes in the earth touching mudra."
dmc86,dmc86.jpeg,image/jpeg,,Image_65,Wooden Head,Wooden; Head,without mudra,Wood,Height: Approximately 15 cm,Wood,Indian,Thailand,"Hungary, Zalascanto","27,00€",On the display in the shelf of the store,"decoration, relaxation ",Head,Serene,Peaceful Head,Wooden head of the Buddha with shut eyes and long ears with third eye visible
dmc87,dmc87.jpeg,image/jpeg,,Image_66,Silver Thai Buddha Head,Silver; Thai; Head,without mudra,Plastic,Height: Approximately 15 cm,Silver,Thailand,Thailand,"Bochum,  Hair dresser Hattingener Street",Not for sale,On the display in the shelf of the store,"decoration, relaxation ",Head,Serene,Peaceful Head,Silver plastic head of a Thai Buddha with ushnisha and long ears.
dmc88,dmc88.jpeg,image/jpeg,,Image_67,Solar Panel Buddha at Hair Dresser,Solar Panel; Led; Hair Dresser,dhyana mudra,"Poly resin, Artificial Stone",Height: Approximately 35 cm,Grey,Indian,China,Bochum – ibeauty Nail Shop,"27,00€",The Primary Display of Store,decorating the shop’s display,Seated,Serene,"Seated with legs crossed, hands gently holding a led candle","Nail decoration shops are often associated with Asia. For this reason, a Buddha is used to make the nail decoration shop and the products interesting. "
dmc89,dmc89.jpeg,image/jpeg,,Image_68,Triple Baby Buddhas,Baby; Basic; Wise Three Babies,without mudra,"Poly resin, Artificial Stone",Height: Approximately 8 cm,Grey,Indian,China,Bochum – ibeauty Nail Shop,Unknown,The Primary Display of Store,decorating the shop’s display,Seated,Happy,"Seated with legs crossed, covered their eyes, ears and mouth with their hands","The baby Buddha figures are seated cross-legged. They wear robes covering their bodies. They have a smile on their faces. They symbolise the metaphor of the three wise monkeys, also known in and outside Asia. They cover their mouth, eyes and ears with their hands."
dmc91,dmc91.jpeg,image/jpeg,,Image_69,Coloured Buddha,Big Belly; Green Robe,mistaken mudra,Porcelain,Height: Approximately 20 cm,"White, Green",Chinese,China,Bochum – Kamo Lifestyle (Clothing Shop),Unknown,The Primary Display of Store,decorating the shop’s display,Seated,Happy,"Seated in a relaxed, leisurely pose, with one knee raised and the other crossed in front","The Buddha figure is seated in a comfortable position. His green robes expose his left shoulder, breasts and large round belly. He holds a rosary in his hand. At the same time, the Buddha's eyebrows are coloured black, his lips red and the inside of his eyes white. He has a happy smile on his face. Since this is a concept and clothing store, Buddha is also for sale."
dmc93,dmc93.jpeg,image/jpeg,,Image_70,Rattanakosin Buddha,Fancy; Gilded Gold,anjali mudra,Bronze,Height: Approximately 50 cm,Antique Gold,Thai,Unknown,Frankfurt – Schnorr (Spice and Tea Shop),Unknown,The Primary Display of Store,decorating the shop’s display,Knelled,Serene,"Seated with legs crossed, and hands folded in meditation gesture","The kneeling figure is dressed in jewelled robes reminiscent of royal attire and wears a long flame-like crown. This spiked crown is described as an ushnisha, a mudra with both hands joined together. His outfit is highly ornate and embroidered. Spices and tea are often associated with Asia, hence the display in the shop window to attract customers."
dmc96,dmc96.jpeg,image/jpeg,,Image_71,Shiny White Buddha,Laughing; Big Belly; Massage,mistaken mudra,Porcelain,Height: Approximately 20 cm,White,Chinese,Unknown,Bochum – Nataya (Massage Salon),not for sale,The Primary Display of Store,decorating the shop’s display,Seated,Happy,"Seated in a relaxed, leisurely pose, with one knee raised and the other crossed in front","Buddha is sitting in a relaxed position. His robe leaves his chest and belly uncovered. His robe is covered with designs and his whole body and clothes are white in colour. He has a smile on his face, showing his teeth. His earlobes hang down to his breasts."
dmc97,dmc97.jpeg,image/jpeg,,Image_72,White Buddha,Shining; Smooth; Massage,dhyana mudra,Porcelain,Height: Approximately 20 cm,White,Indian,Unknown,Bochum – Nataya (Massage Salon),not for sale,The Primary Display of Store,decorating the shop’s display,Seated,Serene,"Seated with legs crossed, hands gently holding a candle",The Buddha figure is seen cross-legged in the window of the massage parlour. Many other elements of Buddhism are also seen in the Thai massage parlour.
dmc105,dmc105.jpeg,image/jpeg,,Image_73,The Tree Investigators,Audio Book; Sketch,dharmachakra mudra,Paper,Height: Approximately 15 cm,Colourful,Indian,The USA,Bochum – Schallplatten (Music Shop),Unknown,The Primary Display of Store,A vinly record,Seated,Serene,Only the upper chest of a Buddha with open eyes and with his mudra is digitally depicted,It is the cover of the 200th book of the book series Three Detectives. This book has been converted into an audio book. There is also a Buddha on the cover of the record. The name of the episode means fiery eye. Buddha's third eye is also depicted in red colour. 
